Act_id,Focus area,associated Skill 1,associated Skill 2,associated skill 3,associated skill 4,1,2,3,4,5,6,7,8,9,10,11,12
228,Cognitive,Critical Thinking,Problem Solving,Focus,Patience,None,None,None,None,Y,Y,None,None,None,None,None
229,Creativity,Fine Motor Skills,patience,Concentration,None,None,None,None,None,Y,Y,None,None,None,None,None
230,Problem Solving,Critical Thinking,Cognitive,Fine Motor Skills,None,None,None,None,Y,Y,Y,None,None,None,None,None
231,Logical and Lateral,Critical Thinking,Cognitive,Fine Motor Skills,None,None,None,None,Y,Y,Y,None,None,None,None,None
232,Cognitive,concentration,fine motor skills,None,None,None,None,None,None,Y,Y,None,None,None,None,None
233,Cognitive,concentration,Critical Thinking,None,None,None,None,None,None,Y,Y,None,None,None,None,None
234,Creativity,Fine Motor Skills,Concentration,None,None,None,None,None,Y,Y,None,None,None,None,None,None
235,Logical and Lateral,Creativity,fine motor skills,None,None,None,None,None,None,Y,Y,None,None,None,None,None
236,Creativity,Fine Motor Skills,Concentration,None,None,None,None,None,Y,Y,Y,None,None,None,None,None
237,Logical and Lateral,Observation skills,Critical thinking,None,None,None,None,None,Y,Y,None,None,None,None,None,None
238,Cognitive,Observation skills,Critical Thinking,None,None,None,None,None,None,Y,Y,None,None,None,None,None
239,Logical and Lateral,Fine Motor Skills,Patience,None,None,None,None,None,None,Y,Y,None,None,None,None,None
240,Creativity,fine motor skills,patience,concentration,None,None,None,None,Y,Y,Y,None,None,None,None,None
241,Logical and Lateral,Fine Motor Skills,Concentration,creativity,Critical Thinking,None,None,None,Y,Y,Y,None,None,None,None,None
242,Logical and Lateral,Creativity,fine motor skills,concentration,Critical Thinking,None,None,None,None,Y,Y,None,None,None,None,None
243,Creativity,Fine Motor Skills,Concentration,patience,None,None,None,None,Y,Y,Y,None,None,None,None,None
244,Creativity,Fine Motor Skills,Concentration,Patience,None,None,None,None,None,Y,Y,Y,None,None,None,None
245,Logical and Lateral,imagination,fine motor skills,concentration,None,None,None,None,Y,Y,Y,None,None,None,None,None
246,Creativity,Imagination,fine motor skills,patience,concentration,None,None,None,Y,Y,Y,None,None,None,None,None
247,Logical and Lateral,Creativity,fine motor skills,concentration,None,None,None,None,Y,Y,None,None,None,None,None,None
248,Creativity,Fine Motor Skills,Imagination,Patience,None,None,None,None,None,Y,Y,Y,None,None,None,None
249,Logical and Lateral,Fine Motor Skills,Patience,Cognitive Development,None,None,None,None,None,Y,Y,None,None,None,None,None
250,Creativity,Fine Motor Skills,Concentration,Patience,None,None,None,None,Y,Y,Y,None,None,None,None,None
251,Creativity,motor skills,Concentration,imagination,None,None,None,None,None,Y,Y,None,None,None,None,None
